Dictionary,Table Size,Hash Base,Time Taken,Words Added,Collision Count,Probe Total,Probe Max,Rehash Count,,Time Taken,,,,,,,,,
english_small.txt,250727,1,TIMEOUT,22613,22230,240325426,22508,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_large.txt,250727,1,TIMEOUT,20503,20158,196995408,20360,0,,english_small.txt,130,130,130,0.621308088,0.582671404,0.756276846,130,0.737064362,0.717083216
french.txt,250727,1,TIMEOUT,24916,24008,249951889,24709,0,,english_large.txt,130,130,130,1.320657253,1.504035234,1.473789692,130,2.016644478,1.80111289
english_small.txt,402221,1,TIMEOUT,22857,22474,245745527,22720,0,,french.txt,130,130,130,2.117302418,1.849392653,2.092161179,130,2.627970934,2.258926392
english_large.txt,402221,1,TIMEOUT,22538,22191,239485382,22346,0,,Collision Count,,,,,,,,,
french.txt,402221,1,TIMEOUT,24896,23988,249469793,24709,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_small.txt,1000081,1,TIMEOUT,22385,22002,235324879,22303,0,,english_small.txt,22230,22474,22002,14263,9012,3487,20238,9011,3612
english_large.txt,1000081,1,TIMEOUT,21983,21636,227492000,21934,0,,english_large.txt,20158,22191,21636,76622,47799,19038,19987,47902,19047
french.txt,1000081,1,TIMEOUT,24376,23468,237426118,24081,0,,french.txt,24008,23988,23468,84347,53376,21876,21995,53024,21795
english_small.txt,250727,27183,0.621308088,84097,14263,22542,21,0,,Probe Total,,,,,,,,,
english_large.txt,250727,27183,1.320657253,194433,76622,420481,278,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
french.txt,250727,27183,2.117302418,202358,84347,563708,363,0,,english_small.txt,240325426,245745527,235324879,22542,11749,3908,204293700,11811,4054
english_small.txt,402221,27183,0.582671404,84097,9012,11749,13,0,,english_large.txt,196995408,239485382,227492000,420481,100117,24410,199330162,101113,24487
english_large.txt,402221,27183,1.504035234,194433,47799,100117,43,0,,french.txt,249951889,249469793,237426118,563708,125307,30360,188471841,122168,30185
french.txt,402221,27183,1.849392653,202358,53376,125307,64,0,,Probe Max,,,,,,,,,
english_small.txt,1000081,27183,0.756276846,84097,3487,3908,5,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_large.txt,1000081,27183,1.473789692,194433,19038,24410,15,0,,english_small.txt,22508,22720,22303,21,13,5,20279,10,8
french.txt,1000081,27183,2.092161179,202358,21876,30360,20,0,,english_large.txt,20360,22346,21934,278,43,15,20007,51,13
english_small.txt,250727,250726,TIMEOUT,20353,20238,204293700,20279,0,,french.txt,24709,24709,24081,363,64,20,20323,36,11
english_large.txt,250727,250726,TIMEOUT,20084,19987,199330162,20007,0,,Rehash Count,,,,,,,,,
french.txt,250727,250726,TIMEOUT,22437,21995,188471841,20323,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_small.txt,402221,250726,0.737064362,84097,9011,11811,10,0,,english_small.txt,0,0,0,0,0,0,0,0,0
english_large.txt,402221,250726,2.016644478,194433,47902,101113,51,0,,english_large.txt,0,0,0,0,0,0,0,0,0
french.txt,402221,250726,2.627970934,202358,53024,122168,36,0,,french.txt,0,0,0,0,0,0,0,0,0
english_small.txt,1000081,250726,0.717083216,84097,3612,4054,8,0,,,,,,,,,,,
english_large.txt,1000081,250726,1.80111289,194433,19047,24487,13,0,,,,,,,,,,,
french.txt,1000081,250726,2.258926392,202358,21795,30185,11,0,,,,,,,,,,,
