Dictionaries,Table Size,Hash Base,Time Taken,Words Added,Collision Count,Probe Total,Probe Max,Rehash Count,,Time Taken,,,,,,,,,
english_small.txt,250727,1,3.479689121,84097,82467,6229979,323,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_large.txt,250727,1,18.79772663,194433,192642,31627753,661,0,,english_small.txt,3.479689121,3.63527751,3.75997591,0.57942462,1.299524784,0.711099863,12.912462,0.660234928,0.624330044
french.txt,250727,1,10.53282762,202358,197093,16569022,449,0,,english_large.txt,18.79772663,19.83594561,19.50380564,1.529937744,1.845090151,1.391278744,70.72184157,2.532229424,1.455106974
english_small.txt,402221,1,3.63527751,84097,82467,6229979,323,0,,french.txt,10.53282762,10.97265053,12.10961127,1.700452328,1.771261692,1.584761858,26.54001284,1.751351595,1.535890579
english_large.txt,402221,1,19.83594561,194433,192642,31627753,661,0,,Collision Count,,,,,,,,,
french.txt,402221,1,10.97265053,202358,197093,16569022,449,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_small.txt,1000081,1,3.75997591,84097,82467,6229979,323,0,,english_small.txt,82467,82467,82467,12561,8253,3328,83769,8217,3437
english_large.txt,1000081,1,19.50380564,194433,192642,31627753,661,0,,english_large.txt,192642,192642,192642,59209,40298,17516,194146,40221,17540
french.txt,1000081,1,12.10961127,202358,197093,16569022,449,0,,french.txt,197093,197093,197093,63487,43389,19159,199994,42999,19118
english_small.txt,250727,27183,0.57942462,84097,12561,14003,4,0,,Probe Total,,,,,,,,,
english_large.txt,250727,27183,1.529937744,194433,59209,75426,7,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
french.txt,250727,27183,1.700452328,202358,63487,81572,6,0,,english_small.txt,6229979,6229979,6229979,14003,8836,3420,23573968,8784,3541
english_small.txt,402221,27183,1.299524784,84097,8253,8836,4,0,,english_large.txt,31627753,31627753,31627753,75426,47013,18648,122802089,46958,18699
english_large.txt,402221,27183,1.845090151,194433,40298,47013,5,0,,french.txt,16569022,16569022,16569022,81572,50812,20421,45573926,50290,20418
french.txt,402221,27183,1.771261692,202358,43389,50812,5,0,,Probe Max,,,,,,,,,
english_small.txt,1000081,27183,0.711099863,84097,3328,3420,3,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_large.txt,1000081,27183,1.391278744,194433,17516,18648,4,0,,english_small.txt,323,323,323,4,4,3,846,4,2
french.txt,1000081,27183,1.584761858,202358,19159,20421,4,0,,english_large.txt,661,661,661,7,5,4,1854,5,4
english_small.txt,250727,250726,12.912462,84097,83769,23573968,846,0,,french.txt,449,449,449,6,5,4,875,5,4
english_large.txt,250727,250726,70.72184157,194433,194146,122802089,1854,0,,,,,,,,,,,
french.txt,250727,250726,26.54001284,202358,199994,45573926,875,0,,,,,,,,,,,
english_small.txt,402221,250726,0.660234928,84097,8217,8784,4,0,,,,,,,,,,,
english_large.txt,402221,250726,2.532229424,194433,40221,46958,5,0,,,,,,,,,,,
french.txt,402221,250726,1.751351595,202358,42999,50290,5,0,,,,,,,,,,,
english_small.txt,1000081,250726,0.624330044,84097,3437,3541,2,0,,,,,,,,,,,
english_large.txt,1000081,250726,1.455106974,194433,17540,18699,4,0,,,,,,,,,,,
french.txt,1000081,250726,1.535890579,202358,19118,20418,4,0,,,,,,,,,,,
