Dictionaries,Table Size,Hash Base,Time Taken,Words Added,,,Time Taken,,,,,,,,,
english_small.txt,250727,1,TIMEOUT,24111,,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_large.txt,250727,1,TIMEOUT,23757,,,english_small.txt,130,130,130,0.582549095,0.810830116,0.575459719,130,0.570542812,0.686136007
french.txt,250727,1,TIMEOUT,26850,,,english_large.txt,130,130,130,1.510923624,1.583799839,1.591773272,130,1.989556551,1.594736099
english_small.txt,402221,1,TIMEOUT,24343,,,french.txt,130,130,130,2.412548542,1.491998672,1.902876139,130,1.941806078,2.053476095
english_large.txt,402221,1,TIMEOUT,24065,,,,,,,,,,,,
french.txt,402221,1,TIMEOUT,26230,,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_small.txt,1000081,1,TIMEOUT,23632,,,english_small.txt,,,,,,,,,
english_large.txt,1000081,1,TIMEOUT,24450,,,english_large.txt,,,,,,,,,
french.txt,1000081,1,TIMEOUT,26557,,,french.txt,,,,,,,,,
english_small.txt,250727,27183,0.582549095,84097,,,,,,,,,,,,
english_large.txt,250727,27183,1.510923624,194433,,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
french.txt,250727,27183,2.412548542,202358,,,english_small.txt,,,,,,,,,
english_small.txt,402221,27183,0.810830116,84097,,,english_large.txt,,,,,,,,,
english_large.txt,402221,27183,1.583799839,194433,,,french.txt,,,,,,,,,
french.txt,402221,27183,1.491998672,202358,,,,,,,,,,,,
english_small.txt,1000081,27183,0.575459719,84097,,,,,,,,,,,,
english_large.txt,1000081,27183,1.591773272,194433,,,,,,,,,,,,
french.txt,1000081,27183,1.902876139,202358,,,,,,,,,,,,
english_small.txt,250727,250726,TIMEOUT,23756,,,,,,,,,,,,
english_large.txt,250727,250726,TIMEOUT,23061,,,,,,,,,,,,
french.txt,250727,250726,TIMEOUT,25941,,,,,,,,,,,,
english_small.txt,402221,250726,0.570542812,84097,,,,,,,,,,,,
english_large.txt,402221,250726,1.989556551,194433,,,,,,,,,,,,
french.txt,402221,250726,1.941806078,202358,,,,,,,,,,,,
english_small.txt,1000081,250726,0.686136007,84097,,,,,,,,,,,,
english_large.txt,1000081,250726,1.594736099,194433,,,,,,,,,,,,
french.txt,1000081,250726,2.053476095,202358,,,,,,,,,,,,
