Dictionaries,Table Size,Hash Base,Time Taken,Words Added,Collision Count,Probe Total,Probe Max,Rehash Count,,Time Taken,,,,,,,,,
english_small.txt,250727,1,14.14316726,84097,83691,16547011,398,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_large.txt,250727,1,57.49721646,194433,194061,65664948,1312,0,,english_small.txt,14.14316726,15.21830773,12.9892571,0.468694687,0.542514801,0.476696014,24.42067885,0.534603834,0.549529791
french.txt,250727,1,53.63653898,202358,201396,59783051,856,0,,english_large.txt,57.49721646,56.1917057,54.07237387,1.275621653,1.582799196,2.000623703,130,1.947659731,1.386237621
english_small.txt,402221,1,15.21830773,84097,83691,16547011,398,0,,french.txt,53.63653898,57.48727322,50.60365438,2.307959557,1.708402157,1.688339472,97.09174037,1.776181936,1.639538765
english_large.txt,402221,1,56.1917057,194433,194056,62188461,864,0,,Collision Count,,,,,,,,,
french.txt,402221,1,57.48727322,202358,201396,59373165,598,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_small.txt,1000081,1,12.9892571,84097,83691,16547011,398,0,,english_small.txt,83691,83691,83691,14263,9000,3492,83957,8983,3610
english_large.txt,1000081,1,54.07237387,194433,194056,61784754,751,0,,english_large.txt,194061,194056,194056,76433,47851,19061,174599,47851,19052
french.txt,1000081,1,50.60365438,202358,201396,59373165,598,0,,french.txt,201396,201396,201396,84635,53392,21930,201664,53220,21886
english_small.txt,250727,27183,0.468694687,84097,14263,20563,9,0,,Probe Total,,,,,,,,,
english_large.txt,250727,27183,1.275621653,194433,76433,216607,32,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
french.txt,250727,27183,2.307959557,202358,84635,260170,39,0,,english_small.txt,16547011,16547011,16547011,20563,11254,3885,28516818,11260,4005
english_small.txt,402221,27183,0.542514801,84097,9000,11254,6,0,,english_large.txt,65664948,62188461,61784754,216607,82238,23618,135780940,82826,23720
english_large.txt,402221,27183,1.582799196,194433,47851,82238,13,0,,french.txt,59783051,59373165,59373165,260170,96607,28423,103972626,95946,28355
french.txt,402221,27183,1.708402157,202358,53392,96607,18,0,,Probe Max,,,,,,,,,
english_small.txt,1000081,27183,0.476696014,84097,3492,3885,5,0,,,"b=1, t=250727","b=1, t=402221","b=1, t=1000081","b=27183, t=250727","b=27183, t=402221","b=27183, t=1000081","b=250726, t=250727","b=250726, t=402221","b=250726, t=1000081"
english_large.txt,1000081,27183,2.000623703,194433,19061,23618,6,0,,english_small.txt,398,398,398,9,6,5,999,7,5
french.txt,1000081,27183,1.688339472,202358,21930,28423,7,0,,english_large.txt,1312,864,751,32,13,6,2826,15,8
english_small.txt,250727,250726,24.42067885,84097,83957,28516818,999,0,,french.txt,856,598,598,39,18,7,2430,19,6
english_large.txt,250727,250726,TIMEOUT,174712,174599,135780940,2826,0,,,,,,,,,,,
french.txt,250727,250726,97.09174037,202358,201664,103972626,2430,0,,,,,,,,,,,
english_small.txt,402221,250726,0.534603834,84097,8983,11260,7,0,,,,,,,,,,,
english_large.txt,402221,250726,1.947659731,194433,47851,82826,15,0,,,,,,,,,,,
french.txt,402221,250726,1.776181936,202358,53220,95946,19,0,,,,,,,,,,,
english_small.txt,1000081,250726,0.549529791,84097,3610,4005,5,0,,,,,,,,,,,
english_large.txt,1000081,250726,1.386237621,194433,19052,23720,8,0,,,,,,,,,,,
french.txt,1000081,250726,1.639538765,202358,21886,28355,6,0,,,,,,,,,,,
