MZ,intensity
5000,0.22388
5002.5,3.2308
5005,2.8113
5007.5,9.1077
5010,4.9347
5012.5,6.2126
5015,-0.55212
5017.5,-0.46065
5020.1,6.2358
5022.6,0.098768
5025.1,5.0579
5027.6,-1.5212
5030.1,2.023
5032.6,0.92422
5035.1,1.1779
5037.6,-0.14922
5040.1,3.2214
5042.6,0.89301
5045.1,5.8246
5047.6,-0.5285
5050.1,-2.374
5052.6,3.0083
5055.1,-2.3759
5057.6,3.7902
5060.2,0.50502
5062.7,-1.9539
5065.2,-1.0202
5067.7,2.1701
5070.2,-0.29454
5072.7,-3.5271
5075.2,-2.3226
5077.7,2.5258
5080.2,2.5144
5082.7,-0.09071
5085.2,-1.1682
5087.7,0.51317
5090.2,0.98004
5092.7,-0.54092
5095.2,-0.79032
5097.7,1.2223
5100.3,1.1208
5102.8,-0.1585
5105.3,6.1064
5107.8,-1.857
5110.3,3.155
5112.8,2.6404
5115.3,-0.30502
5117.8,1.9574
5120.3,3.5273
5122.8,-1.587
5125.3,-1.8595
5127.8,-2.5387
5130.3,2.8803
5132.8,-1.2028
5135.3,-3.7449
5137.8,1.7429
5140.4,-0.018085
5142.9,1.9713
5145.4,1.5277
5147.9,2.2398
5150.4,-3.0327
5152.9,3.2535
5155.4,3.1954
5157.9,7.6752
5160.4,0.57625
5162.9,-0.19604
5165.4,1.7282
5167.9,-0.37748
5170.4,-0.03624
5172.9,-1.6707
5175.4,3.3539
5177.9,1.8167
5180.5,-0.16777
5183,2.2488
5185.5,2.0828
5188,5.2403
5190.5,4.7909
5193,4.4895
5195.5,8.8091
5198,5.3189
5200.5,7.1161
5203,4.4897
5205.5,10.89
5208,9.6837
5210.5,7.3733
5213,5.3946
5215.5,2.4178
5218,5.9002
5220.6,3.6418
5223.1,1.6958
5225.6,0.93387
5228.1,5.5126
5230.6,4.5059
5233.1,4.1868
5235.6,3.4809
5238.1,0.82411
5240.6,0.6093
5243.1,11.277
5245.6,8.8223
5248.1,5.7489
5250.6,5.7763
5253.1,5.3675
5255.6,-0.97403
5258.1,7.6082
5260.7,7.55
5263.2,17.111
5265.7,24.251
5268.2,31.638
5270.7,43.235
5273.2,54.853
5275.7,52.938
5278.2,45.877
5280.7,34.867
5283.2,27.913
5285.7,18.839
5288.2,13.094
5290.7,5.9421
5293.2,4.0665
5295.7,2.7538
5298.2,5.3579
5300.8,3.8527
5303.3,6.8407
5305.8,5.6181
5308.3,0.85839
5310.8,6.4313
5313.3,-0.80646
5315.8,1.6896
5318.3,1.7008
5320.8,0.73438
5323.3,-0.12187
5325.8,5.8875
5328.3,-2.5559
5330.8,1.0375
5333.3,-0.19938
5335.8,2.2311
5338.3,-0.93384
5340.9,4.3333
5343.4,1.869
5345.9,7.0236
5348.4,-5.4135
5350.9,0.53973
5353.4,2.6051
5355.9,2.8397
5358.4,-0.97758
5360.9,3.6308
5363.4,4.3871
5365.9,-1.4008
5368.4,4.0695
5370.9,9.4356
5373.4,5.8279
5375.9,1.6031
5378.4,5.6834
5381,3.9746
5383.5,2.7291
5386,2.0818
5388.5,1.6486
5391,2.0069
5393.5,1.7286
5396,2.7295
5398.5,6.9716
5401,-0.37717
5403.5,4.7818
5406,3.8725
5408.5,-3.1508
5411,-2.2529
5413.5,5.4975
5416,-4.6955
5418.5,-1.5833
5421.1,1.821
5423.6,-1.8312
5426.1,2.0663
5428.6,0.83934
5431.1,-3.5147
5433.6,1.7075
5436.1,-1.5158
5438.6,-5.4817
5441.1,-1.3305
5443.6,1.5433
5446.1,6.4625
5448.6,-0.44312
5451.1,2.3412
5453.6,-0.30059
5456.1,5.8332
5458.6,4.6476
5461.2,9.7303
5463.7,0.9176
5466.2,3.4363
5468.7,1.4537
5471.2,-1.6229
5473.7,-1.6071
5476.2,-0.56546
5478.7,1.8928
5481.2,-2.3281
5483.7,1.3346
5486.2,-3.106
5488.7,0.95432
5491.2,-2.3855
5493.7,1.4432
5496.2,0.74774
5498.7,-2.9643
5501.3,3.4642
5503.8,2.4885
5506.3,4.4883
5508.8,5.1939
5511.3,5.0921
5513.8,0.019969
5516.3,-5.2064
5518.8,2.7387
5521.3,2.7249
5523.8,1.9349
5526.3,3.0175
5528.8,7.3876
5531.3,1.8273
